source_id,source_title,source_type,institution,year,url,notes
io_un_charter,Charter of the United Nations,treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/full-text,"Constituent instrument for the United Nations; includes institutional powers, specialized-agency relationship, and peace-and-security framework."
io_un_charter_chapter_ix,UN Charter Chapter IX: International Economic and Social Cooperation,treaty_chapter,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-9,"Framework for ECOSOC, cooperation, and specialized agency coordination."
io_un_charter_article_57,UN Charter Article 57,treaty_article,United Nations,1945,https://legal.un.org/repertory/art57.shtml,Specialized agencies brought into relationship with the United Nations.
io_un_charter_article_63,UN Charter Article 63,treaty_article,United Nations,1945,https://legal.un.org/repertory/art63.shtml,ECOSOC arrangements with specialized agencies and coordination authority.
io_reparation_for_injuries,Reparation for Injuries Suffered in the Service of the United Nations,advisory_opinion,International Court of Justice,1949,https://www.icj-cij.org/case/4,Foundational advisory opinion on international legal personality and implied powers of international organizations.
io_effect_of_awards,Effect of Awards of Compensation Made by the United Nations Administrative Tribunal,advisory_opinion,International Court of Justice,1954,https://www.icj-cij.org/case/21,Authority of international administrative tribunals and institutional legal effects.
io_who_constitution,Constitution of the World Health Organization,constituent_instrument,World Health Organization,1946,https://www.who.int/about/governance/constitution,Constituent instrument and legal basis for WHO authority.
io_ilo_constitution,Constitution of the International Labour Organization,constituent_instrument,International Labour Organization,1919,https://www.ilo.org/about-ilo/how-ilo-works/departments-and-offices/jur/legal-instruments/constitution-ilo,Constituent instrument for the ILO and its tripartite institutional structure.
io_wto_agreement,Marrakesh Agreement Establishing the World Trade Organization,constituent_instrument,World Trade Organization,1994,https://www.wto.org/english/docs_e/legal_e/04-wto_e.htm,Constituent instrument of the WTO and basis for its institutional and dispute-settlement structure.
io_imf_articles,Articles of Agreement of the International Monetary Fund,constituent_instrument,International Monetary Fund,1944,https://www.imf.org/external/pubs/ft/aa/,Constituent instrument for the IMF and its monetary and financial governance authority.
io_world_bank_ibrd_articles,IBRD Articles of Agreement,constituent_instrument,World Bank,1944,https://thedocs.worldbank.org/en/doc/722361541184234501-0330022018/original/IBRDArticlesOfAgreementEnglish.pdf,Constituent instrument for the International Bank for Reconstruction and Development.
io_privileges_immunities_un,Convention on the Privileges and Immunities of the United Nations,treaty,United Nations,1946,https://treaties.un.org/pages/ViewDetails.aspx?src=TREATY&mtdsg_no=III-1&chapter=3,Core treaty on UN privileges and immunities.
io_privileges_immunities_specialized,Convention on the Privileges and Immunities of the Specialized Agencies,treaty,United Nations,1947,https://treaties.un.org/pages/ViewDetails.aspx?src=TREATY&mtdsg_no=III-2&chapter=3,Treaty framework for privileges and immunities of specialized agencies.
io_ario_2011,Draft Articles on the Responsibility of International Organizations,draft_articles,International Law Commission,2011,https://legal.un.org/ilc/texts/instruments/english/draft_articles/9_11_2011.pdf,ILC framework on responsibility of international organizations.
io_icj_who_nuclear_weapons,Legality of the Use by a State of Nuclear Weapons in Armed Conflict,advisory_opinion,International Court of Justice,1996,https://www.icj-cij.org/case/93,Advisory opinion addressing WHO competence and limits of specialized agency authority.
