source_id,source_title,source_type,institution,year,url,notes
1,United Nations Convention on the Law of the Sea,treaty,United Nations,1982,https://www.un.org/depts/los/convention_agreements/texts/unclos/unclos_e.pdf,Official UNCLOS text
2,United Nations Convention on the Law of the Sea Treaty Collection,treaty status,United Nations Treaty Collection,1982,https://treaties.un.org/pages/ViewDetailsIII.aspx?src=TREATY&mtdsg_no=XXI-6&chapter=21&Temp=mtdsg3&clang=_en,UNCLOS treaty status
3,Division for Ocean Affairs and the Law of the Sea,official institutional resource,United Nations,n.d.,https://www.un.org/depts/los/index.htm,UN DOALOS portal
4,UNCLOS,official institutional page,International Tribunal for the Law of the Sea,n.d.,https://www.itlos.org/en/main/the-tribunal/unclos/,ITLOS overview of UNCLOS
5,The Tribunal,official institutional page,International Tribunal for the Law of the Sea,n.d.,https://www.itlos.org/en/main/the-tribunal/the-tribunal/,ITLOS institutional overview
6,Jurisdiction,official institutional page,International Tribunal for the Law of the Sea,n.d.,https://www.itlos.org/en/main/jurisdiction/,ITLOS jurisdiction
7,About ISA,official institutional page,International Seabed Authority,2026,https://isa.org.jm/about-isa/,ISA role membership and common heritage
8,Equitable sharing of benefits,official institutional page,International Seabed Authority,n.d.,https://isa.org.jm/equitable-sharing-of-benefits/,Article 140 and Article 82 benefit sharing
9,Commission on the Limits of the Continental Shelf Home,official institutional page,United Nations,2026,https://www.un.org/depts/los/clcs_new/clcs_home.htm,CLCS home page
10,Commission on the Limits of the Continental Shelf Purpose,official institutional page,United Nations,n.d.,https://www.un.org/depts/los/clcs_new/commission_purpose.htm,CLCS purpose and recommendations
11,South China Sea Arbitration,arbitration,Permanent Court of Arbitration,2016,https://pca-cpa.org/en/cases/7/,PCA case page
12,South China Sea Arbitration Award,reports of international arbitral awards,United Nations,2016,https://legal.un.org/riaa/cases/vol_XXXIII/153-617.pdf,Official award text in RIAA
13,North Sea Continental Shelf,ICJ case,International Court of Justice,1969,https://www.icj-cij.org/case/52,ICJ case overview
14,North Sea Continental Shelf Judgments,ICJ judgment,International Court of Justice,1969,https://www.icj-cij.org/case/52/judgments,ICJ judgment page
15,Agreement on Marine Biological Diversity of Areas beyond National Jurisdiction,treaty,United Nations,2026,https://www.un.org/bbnjagreement/en,BBNJ Agreement official page
16,BBNJ Agreement text,official treaty text,United Nations,2023,https://www.un.org/bbnjagreement/sites/default/files/2024-08/Text%20of%20the%20Agreement%20in%20English.pdf,BBNJ official English text
17,Agreement on Marine Biological Diversity of Areas beyond National Jurisdiction,official resource,UNEP,2025,https://www.unep.org/resources/agreement-marine-biological-diversity-areas-beyond-national-jurisdiction-bbnj-agreement,UNEP summary and agreement resource
18,International Convention for the Prevention of Pollution from Ships,official treaty page,International Maritime Organization,n.d.,https://www.imo.org/en/about/Conventions/Pages/International-Convention-for-the-Prevention-of-Pollution-from-Ships-%28MARPOL%29.aspx,MARPOL pollution framework
