source_id,source_title,source_type,institution,year,url,notes
stateless-1954,Convention relating to the Status of Stateless Persons,Treaty,United Nations,1954,https://www.ohchr.org/en/instruments-mechanisms/instruments/convention-relating-status-stateless-persons,Defines stateless person and creates protection standards for persons not recognized as nationals by any state.
reduction-1961,Convention on the Reduction of Statelessness,Treaty,United Nations,1961,https://www.ohchr.org/en/instruments-mechanisms/instruments/convention-reduction-statelessness,"Framework for preventing statelessness at birth, in loss of nationality, and in state succession contexts."
udhr-1948,Universal Declaration of Human Rights,Declaration,United Nations General Assembly,1948,https://www.un.org/en/about-us/universal-declaration-of-human-rights,Article 15 recognizes the right to a nationality and protection against arbitrary deprivation.
iccpr-1966,International Covenant on Civil and Political Rights,Treaty,OHCHR,1966,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-covenant-civil-and-political-rights,"Protects legal personality, equality, family life, child registration, and related rights."
crc-1989,Convention on the Rights of the Child,Treaty,OHCHR,1989,https://www.ohchr.org/en/instruments-mechanisms/instruments/convention-rights-child,"Article 7 addresses birth registration, name, and nationality for children."
cedaw-1979,Convention on the Elimination of All Forms of Discrimination against Women,Treaty,OHCHR,1979,https://www.ohchr.org/en/instruments-mechanisms/instruments/convention-elimination-all-forms-discrimination-against-women,Article 9 addresses equality in nationality law and transmission of nationality to children.
cerd-1965,International Convention on the Elimination of All Forms of Racial Discrimination,Treaty,OHCHR,1965,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-convention-elimination-all-forms-racial,Important for racialized nationality denial and discrimination in citizenship regimes.
unhcr-conventions,UN Conventions on Statelessness,Institutional guidance,UNHCR,n.d.,https://www.unhcr.org/us/what-we-do/protect-human-rights/ending-statelessness/un-conventions-statelessness,UNHCR overview of the 1954 and 1961 statelessness conventions.
unhcr-handbook,Handbook on Protection of Stateless Persons,Institutional guidance,UNHCR,2014,https://www.unhcr.org/media/handbook-protection-stateless-persons,"Guidance on definition, status determination, and protection for stateless persons."
global-action-2,Global Action Plan to End Statelessness 2.0,Institutional strategy,UNHCR,2024,https://www.unhcr.org/ibelong/global-action-plan/,Current UNHCR strategy for reducing and preventing statelessness.
