article_id,article_title,source_id,source_kind,source_type,title,author_or_institution,year,publisher,url,notes
state-responsibility,State Responsibility in International Law,1,primary,other,Articles on Responsibility of States for Internationally Wrongful Acts,International Law Commission,2001,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/9_6_2001.pdf,Core ARSIWA text
state-responsibility,State Responsibility in International Law,10,primary,case,Legal Consequences arising from Policies and Practices of Israel in the Occupied Palestinian Territory including East Jerusalem,International Court of Justice,2024,,https://www.icj-cij.org/case/186,Advisory opinion on occupation self-determination third-state duties
state-responsibility,State Responsibility in International Law,11,primary,treaty,Application of the Genocide Convention in the Gaza Strip South Africa v Israel,International Court of Justice,2023,,https://www.icj-cij.org/case/192,Contemporary Genocide Convention case brought by South Africa
state-responsibility,State Responsibility in International Law,12,primary,report,Draft conclusions on peremptory norms of general international law jus cogens,International Law Commission,2022,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_14_2022.pdf,Serious breaches peremptory norms and consequences
state-responsibility,State Responsibility in International Law,2,primary,report,Draft articles on Responsibility of States for Internationally Wrongful Acts with commentaries,International Law Commission,2001,,https://legal.un.org/ilc/texts/instruments/english/commentaries/9_6_2001.pdf,Commentaries on ARSIWA
state-responsibility,State Responsibility in International Law,3,primary,resolution,Resolution 56/83 Responsibility of States for internationally wrongful acts,United Nations General Assembly,2001,,https://docs.un.org/en/A/RES/56/83,UNGA resolution taking note of ARSIWA
state-responsibility,State Responsibility in International Law,4,primary,other,Articles on Responsibility of States for Internationally Wrongful Acts Audiovisual Library,United Nations,n.d.,,https://legal.un.org/avl/ha/rsiwa/rsiwa.html,UN Audiovisual Library entry
state-responsibility,State Responsibility in International Law,5,primary,case,Factory at Chorzow Merits,Permanent Court of International Justice,1928,,https://www.icj-cij.org/pcij-series-a,PCIJ Series A page with Chorzow Factory merits judgment
state-responsibility,State Responsibility in International Law,6,primary,case,Corfu Channel,International Court of Justice,1949,,https://www.icj-cij.org/case/1,ICJ case on state responsibility and omission
state-responsibility,State Responsibility in International Law,7,primary,case,Military and Paramilitary Activities in and against Nicaragua,International Court of Justice,1986,,https://www.icj-cij.org/case/70,ICJ case on attribution intervention use of force and state responsibility
state-responsibility,State Responsibility in International Law,8,primary,treaty,Gabcikovo-Nagymaros Project,International Court of Justice,1997,,https://www.icj-cij.org/case/92,ICJ case on necessity and treaty obligations
state-responsibility,State Responsibility in International Law,9,primary,treaty,Application of the Genocide Convention Bosnia and Herzegovina v Serbia and Montenegro,International Court of Justice,2007,,https://www.icj-cij.org/case/91,ICJ case on genocide prevention attribution and responsibility
state-responsibility,State Responsibility in International Law,1,secondary,secondary_source,State Responsibility: The General Part,Crawford James,2013,Cambridge University Press,https://www.cambridge.org/core/books/state-responsibility/8B821CE2F80D860010E77B4A09005F77,Specialist monograph on state responsibility
state-responsibility,State Responsibility in International Law,2,secondary,secondary_source,The International Law Commission's Articles on State Responsibility: Introduction Text and Commentaries,Crawford James ed,2002,Cambridge University Press,https://www.cambridge.org/core/books/international-law-commissions-articles-on-state-responsibility/B6888C1CFEC5218DD87F134A2C79401A,Text and commentary reference
state-responsibility,State Responsibility in International Law,3,secondary,secondary_source,System of the Law of Nations: State Responsibility,Brownlie Ian,1983,Oxford University Press,https://global.oup.com/academic/product/system-of-the-law-of-nations-9780198256014,Classic state responsibility study
state-responsibility,State Responsibility in International Law,4,secondary,secondary_source,International Law,Shaw Malcolm N,2021,Cambridge University Press,https://www.cambridge.org/highereducation/books/international-law/2AB3E3A1B863D0F1D9B22F7862B1F0F1,General international law textbook
state-responsibility,State Responsibility in International Law,5,secondary,secondary_source,Imperialism Sovereignty and the Making of International Law,Anghie Antony,2004,Cambridge University Press,https://www.cambridge.org/core/books/imperialism-sovereignty-and-the-making-of-international-law/8A9B9D74AAB7CA2D7B7D4D83A7E9D59A,Postcolonial critique relevant to responsibility and empire
