article_id,title,has_metadata,has_primary_sources,has_secondary_sources,primary_header,secondary_header,catalyst_data_ready,notes,article_slug,article_title,status,primary_sources_csv,secondary_sources_csv,metadata_json,article_html,updated_at
civil-political-rights-international-law,Civil and Political Rights in International Law,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
climate-change-law-treaties-legal-politics-decarbonization,"Climate Change Law, Treaties, and the Legal Politics of Decarbonization",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
command-responsibility-individual-criminal-liability-modes-participation,"Command Responsibility, Individual Criminal Liability, and Modes of Participation",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
common-but-differentiated-responsibilities-environmental-burden-sharing,Common but Differentiated Responsibilities and the Politics of Environmental Burden Sharing,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
compliance-enforcement-limits-international-adjudication,"Compliance, Enforcement, and the Limits of International Adjudication",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
customary-international-law,Customary International Law: State Practice and Opinio Juris,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
cyber-operations-digital-sovereignty-international-law-information-age,"Cyber Operations, Digital Sovereignty, and International Law in the Information Age",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
development-inequality-structural-asymmetry-international-economic-law,"Development, Inequality, and Structural Asymmetry in International Economic Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
economic-social-cultural-rights-international-law,"Economic, Social, and Cultural Rights in International Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
empire-decolonization-making-international-law,"Empire, Decolonization, and the Making of International Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
fragmentation-and-coherence,Fragmentation and Coherence in International Legal Order,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
future-international-law-fragmentation-multipolarity-planetary-crisis,"The Future of International Law in an Age of Fragmentation, Multipolarity, and Planetary Crisis",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
gender-violence-public-private-divide-international-law,"Gender, Violence, and the Public/Private Divide in International Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
general-principles-of-law,General Principles of Law in International Legal Order,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
high-seas-deep-seabed-governance-global-commons,"The High Seas, Deep Seabed Governance, and the Global Commons",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
human-rights-international-law,Human Rights in International Law,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
humanitarian-intervention-responsibility-to-protect-limits-sovereignty,"Humanitarian Intervention, Responsibility to Protect, and the Limits of Sovereignty",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
international-arbitration-peaceful-settlement-disputes,International Arbitration and the Peaceful Settlement of Disputes,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
international-court-of-justice-judicial-settlement-disputes,The International Court of Justice and the Judicial Settlement of Disputes,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
international-courts-and-tribunals,International Courts and Tribunals,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
international-criminal-court-politics-global-justice,The International Criminal Court and the Politics of Global Justice,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
international-environmental-law-governance-planetary-risk,International Environmental Law and the Governance of Planetary Risk,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
international-health-law-pandemics-global-public-health-coordination,"International Health Law, Pandemics, and Global Public Health Coordination",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
